Geocodigo;Cidade;Latitude;Longitude
2100402;Altamira do Maranhão;-4,167476513;-45,47009931
2100436;Alto Alegre do Maranhão;-4,211020036;-44,45309057
2100477;Alto Alegre do Pindaré;-3,667753777;-45,84593302
2100501;Alto Parnaíba;-9,110264959;-45,93363882
2100550;Amapá do Maranhão;-1,675937631;-46,01322712
2100600;Amarante do Maranhão;-5,570723784;-46,74457523
2100709;Anajatuba;-3,264917922;-44,61672343
2100808;Anapurus;-3,674334431;-43,10938027
2100832;Apicum-Açu;-1,524350851;-45,07682226
2100873;Araguanã;-2,950677709;-45,66551586
2100907;Araioses;-2,891051696;-41,90330008
2100956;Arame;-4,888221468;-46,00870764
2101004;Arari;-3,45539171;-44,77710325
2101103;Axixá;-2,836630404;-44,05647625
2101202;Bacabal;-4,228774944;-44,78246759
2101251;Bacabeira;-2,976484081;-44,31428877
2101301;Bacuri;-1,725713149;-45,1400103
2101350;Bacurituba;-2,707752891;-44,73802534
2101400;Balsas;-7,526610142;-46,04035215
2101509;Barão de Grajaú;-6,756428409;-43,02694326
2101608;Barra do Corda;-5,497066536;-45,25048402
2101707;Barreirinhas;-2,748361471;-42,82672722
2101731;Belágua;-3,160393833;-43,50837577
2101772;Bela Vista do Maranhão;-3,741156948;-45,2525598
2101806;Benedito Leite;-7,220158495;-44,55454351
2101905;Bequimão;-2,449507658;-44,79086973
2101939;Bernardo do Mearim;-4,629391089;-44,76129643
2101970;Boa Vista do Gurupi;-1,799576148;-46,30753603
2102002;Bom Jardim;-3,54485404;-45,60754132
2102036;Bom Jesus das Selvas;-4,483567917;-46,85363144
2102077;Bom Lugar;-4,373340166;-45,03992053
2102101;Brejo;-3,679861051;-42,75411582
2102150;Brejo de Areia;-4,330540003;-45,58410188
2102200;Buriti;-3,944299711;-42,91398825
2102309;Buriti Bravo;-5,837641953;-43,83535339
2102325;Buriticupu;-4,321407633;-46,45425272
2102358;Buritirana;-5,592343443;-47,01635533
2102374;Cachoeira Grande;-2,928683884;-44,05263566
2102408;Cajapió;-2,873741018;-44,67205279
2102507;Cajari;-3,321080012;-45,0120271
2102556;Campestre do Maranhão;-6,173839054;-47,36581922
2102606;Cândido Mendes;-1,451900691;-45,72774266
2102705;Cantanhede;-3,634445587;-44,38065618
2102754;Capinzal do Norte;-4,729180389;-44,32794537
2102804;Carolina;-7,333342181;-47,46574177
2102903;Carutapera;-1,201266585;-46,01886898
2103000;Caxias;-4,879521642;-43,34604721
2103109;Cedral;-1,996904936;-44,53526142
2103125;Central do Maranhão;-2,196833826;-44,83131376
2103158;Centro do Guilherme;-2,450520741;-46,0387055
2103174;Centro Novo do Maranhão;-2,140933305;-46,12337943
2103208;Chapadinha;-3,736822727;-43,35631539
2103257;Cidelândia;-5,177218384;-47,78382446
2103307;Codó;-4,456979731;-43,89257001
2103406;Coelho Neto;-4,255073013;-43,01282801
2103505;Colinas;-6,032146062;-44,24738785
2103554;Conceição do Lago-Açu;-3,837904211;-44,89700256
2103604;Coroatá;-4,131409078;-44,12503589
2103703;Cururupu;-1,823047517;-44,86819166
2103752;Davinópolis;-5,525645088;-47,3914506
2103802;Dom Pedro;-5,04052328;-44,43947705
2103901;Duque Bacelar;-4,15081999;-42,94480573
2104008;Esperantinópolis;-4,876718725;-44,88043013
2104057;Estreito;-6,557562899;-47,44396036
2104073;Feira Nova do Maranhão;-6,962428884;-46,68200487
2104081;Fernando Falcão;-6,151217474;-44,90092051
2104099;Formosa da Serra Negra;-6,443336069;-46,19029725
2104107;Fortaleza dos Nogueiras;-6,96232147;-46,17813596
2104206;Fortuna;-5,732245664;-44,15161903
2104305;Godofredo Viana;-1,412143838;-45,77353043
2104404;Gonçalves Dias;-5,153919477;-44,29975203
2104503;Governador Archer;-5,024785476;-44,27046338
2104552;Governador Edison Lobão;-5,749477032;-47,36243055
2104602;Governador Eugênio Barros;-5,321937094;-44,24442033
2104628;Governador Luiz Rocha;-5,472306317;-44,0702843
2104651;Governador Newton Bello;-3,426863071;-45,67129465
2104677;Governador Nunes Freire;-2,129024082;-45,89136527
2104701;Graça Aranha;-5,408372838;-44,33278797
